REGIONE	TIPO	FUNZIONE	MONOMULTI	OPENGG	UTENTIATT_TOT	PATRIMONIO_TOT	PINT_BEF	PINT_AFT	PEST_BEF	PEST_AFT	CONSUL_BEF	CONSUL_AFT	VOL_BEF	TIRO_BEF	DIGITAL_AFT	PIATDIG_AFT	LABO_AFT	ONLINE_AFT	SOCIAL_AFT	ACCESSO_AFT	PRESTITO_AFT
Campania	Privata	Servizi_specializzati	Specialistico	96	100	1500	0	0	0	0	0	0	5	0	SI	NO	SI	SI	SI	SI	SI
Campania	Privata	Servizi_specializzati	Multidisciplinare	125	85	17000	1	1	0	0	1	0	0	1	SI	NO	NO	SI	SI	NO	NO
Campania	Privata	Servizi_specializzati	Specialistico	150	100	3000	0	0	0	0	0	0	1	0	SI	SI	NO	NO	NO	NO	NO
Campania	Privata	Servizi_specializzati	Specialistico	90	10	1816	1	1	0	0	0	0	3	0	NO	NO	NO	NO	SI	NO	NO
Campania	Privata	Servizi_specializzati	Specialistico	215	50	15000	1	1	0	0	1	1	0	1	SI	NO	NO	NO	SI	NO	NO
Campania	Pubblica	Conservazione	Multidisciplinare	175	20230	2429380	119	104	9	9	0	0	3	0	SI	SI	SI	SI	SI	SI	NO
Campania	Pubblica	Servizi_specializzati	Specialistico	220	85	5013	1	1	0	0	0	0	0	1	NO	SI	NO	NO	NO	SI	NO
Campania	Privata	Servizi_specializzati	Specialistico	200	400	465307	6	6	0	0	8	8	2	0	SI	SI	NO	SI	SI	SI	NO
Campania	Privata	Servizi_specializzati	Specialistico	40	50	25000	0	0	0	0	0	0	5	2	NO	NO	NO	SI	SI	NO	NO
Campania	Pubblica	Servizi_specializzati	Specialistico	40	70	21010	2	2	0	0	0	1	0	0	SI	SI	NO	NO	NO	SI	SI
Campania	Privata	Servizi_specializzati	Multidisciplinare	200	2000	150000	5	5	0	0	1	0	0	0	SI	SI	NO	NO	SI	SI	NO
Campania	Privata	Conservazione	Specialistico	150	70	55500	7	7	0	0	3	3	10	0	NO	NO	NO	NO	NO	NO	NO
Campania	Pubblica	Servizi_specializzati	Specialistico	96	335	64788	3	3	3	3	0	0	0	0	SI	NO	NO	NO	NO	NO	NO
Campania	Pubblica	Servizi_specializzati	Multidisciplinare	186	700	34000	1	1	0	0	0	1	0	6	SI	SI	SI	NO	SI	NO	SI
